nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,2022-08-25T14:24:21Z,2,Python,372,0,0
square/retrofit,2010-09-06T21:39:43Z,2022-08-25T09:50:25Z,0,Java,764,2596,2457
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2022-08-25T14:30:06Z,0,Jupyter Notebook,336,0,0
vsouza/awesome-ios,2014-07-10T16:03:45Z,2022-08-25T11:05:58Z,0,Swift,2163,449,448
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,2022-08-25T14:26:12Z,0,,28,0,0
v2ray/v2ray-core,2015-09-04T11:42:53Z,2022-08-25T14:19:01Z,247,Go,202,2463,2435
JuliaLang/julia,2011-04-21T07:01:50Z,2022-08-25T14:11:24Z,125,Julia,19396,21836,18408
cypress-io/cypress,2015-03-04T00:46:28Z,2022-08-25T14:11:25Z,278,JavaScript,4450,11197,8467
iamkun/dayjs,2018-04-10T09:26:44Z,2022-08-25T14:04:08Z,111,JavaScript,631,1161,715
tldr-pages/tldr,2013-12-08T07:34:43Z,2022-08-25T14:29:58Z,2,Markdown,6544,951,798
facebook/jest,2013-12-10T00:18:04Z,2022-08-25T14:07:54Z,174,TypeScript,4745,6992,6054
mozilla/pdf.js,2011-04-26T06:32:03Z,2022-08-25T13:50:15Z,43,JavaScript,5838,8444,8085
karan/Projects,2013-07-04T13:37:27Z,2022-08-25T13:15:58Z,0,,19,70,32
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,2022-08-25T14:31:39Z,0,,495,517,167
traefik/traefik,2015-09-13T19:04:02Z,2022-08-25T14:22:31Z,371,Go,3518,5076,4474
Textualize/rich,2019-11-10T15:28:09Z,2022-08-25T12:22:22Z,140,Python,606,886,816
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,2022-08-25T13:15:50Z,0,,208,66,52
nwjs/nw.js,2012-01-04T06:21:10Z,2022-08-25T09:36:56Z,0,JavaScript,568,7101,6202
vercel/hyper,2016-07-01T06:01:21Z,2022-08-25T12:24:28Z,81,TypeScript,2520,3554,2753
ethereum/go-ethereum,2013-12-26T13:05:46Z,2022-08-25T14:25:34Z,162,Go,5579,6601,6345
x64dbg/x64dbg,2015-04-11T20:48:23Z,2022-08-25T03:43:06Z,3,C++,572,2163,1663
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,2022-08-25T09:24:04Z,0,Vue,20,599,502
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,2022-08-25T13:28:38Z,0,JavaScript,182,91,72
Dogfalo/materialize,2014-09-12T19:35:38Z,2022-08-25T13:23:45Z,41,JavaScript,449,5207,4584
justjavac/awesome-wechat-weapp,2016-09-22T20:04:48Z,2022-08-25T12:28:00Z,0,,269,0,0
ventoy/Ventoy,2020-03-10T15:19:19Z,2022-08-25T12:50:07Z,77,C,131,1417,1104
pi-hole/pi-hole,2014-06-08T15:02:55Z,2022-08-25T14:37:15Z,82,Shell,1472,2551,2521
